"","Lead.Number","Lead.Origin","Lead.Source","Do.Not.Email","Converted","TotalVisits","Total.Time.Spent.on.Website","Page.Views.Per.Visit","Last.Activity","What.is.your.current.occupation","City","A.free.copy.of.Mastering.The.Interview","Last.Notable.Activity","total_answered"
"2956","631439","API","Google","No","1",6,1162,6,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"2957","631431","Landing Page Submission","Google","No","1",4,1344,4,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","4"
"2958","631429","Landing Page Submission","Direct Traffic","No","0",4,44,4,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","2"
"2959","631420","Landing Page Submission","Google","No","0",3,690,3,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","4"
"2960","631411","API","Olark Chat","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"2961","631408","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"2962","631406","Lead Add Form","Reference","No","1",3,1248,1,"Email Opened","Student","Mumbai","Yes","Email Opened","3"
"2963","631405","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","3"
"2964","631400","API","Direct Traffic","No","1",7,114,7,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"2965","631395","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"2966","631393","Landing Page Submission","Direct Traffic","No","0",2,212,2,"Email Opened","Unemployed","Thane & Outskirts","Yes","Modified","3"
"2967","631392","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"2968","631390","Landing Page Submission","Organic Search","No","1",4,362,4,"SMS Sent","Unemployed","Mumbai","Yes","Modified","3"
"2969","631375","API","Google","No","0",4,183,1,"SMS Sent","Unemployed","Mumbai","No","Modified","2"
"2970","631364","Landing Page Submission","Direct Traffic","Yes","0",3,898,1.5,"Email Bounced","Unemployed","Mumbai","Yes","Modified","1"
"2971","631362","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"2972","631360","API","Google","No","0",3,237,3,"Converted to Lead","Unemployed","Mumbai","No","Modified","0"
"2973","631355","Landing Page Submission","Organic Search","No","0",11,529,5.5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"2974","631352","Landing Page Submission","Direct Traffic","No","0",4,453,4,"Page Visited on Website","Unemployed","Other Cities of Maharashtra","Yes","Page Visited on Website","1"
"2975","631346","API","Google","Yes","1",2,440,2,"Email Bounced","Unemployed","Mumbai","No","Email Bounced","2"
"2976","631336","Landing Page Submission","Google","No","0",4,12,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"2977","631333","Lead Add Form","Reference","No","1",0,532,0,"SMS Sent","Unemployed","Mumbai","No","Modified","3"
"2978","631324","Landing Page Submission","Google","No","1",4,222,4,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","4"
"2979","631318","API","Olark Chat","No","1",16,1448,1.78,"Page Visited on Website","Working Professional","Other Cities","No","Page Visited on Website","3"
"2980","631313","Lead Add Form","Welingak Website","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"2981","631307","API","Google","No","0",1,247,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","0"
"2982","631306","Landing Page Submission","Google","No","0",8,546,2.67,"Email Opened","Unemployed","Other Cities of Maharashtra","Yes","Email Opened","3"
"2983","631282","API","Google","No","1",5,1469,5,"SMS Sent","Unemployed","Thane & Outskirts","No","SMS Sent","3"
"2984","631277","Landing Page Submission","Organic Search","No","0",3,27,3,"Converted to Lead","Unemployed","Other Cities","Yes","Modified","1"
"2985","631268","Lead Add Form","Reference","No","1",4,1101,1.33,"Olark Chat Conversation","Working Professional","Mumbai","Yes","Olark Chat Conversation","3"
"2986","631267","Landing Page Submission","Google","No","1",4,1855,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"2987","631255","Landing Page Submission","Google","No","1",3,1286,3,"SMS Sent","Unemployed","Thane & Outskirts","No","Modified","2"
"2988","631245","Landing Page Submission","Direct Traffic","No","0",4,218,4,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","2"
"2989","631243","API","Google","No","1",6,1232,3,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","0"
"2990","631226","Landing Page Submission","Direct Traffic","No","1",8,1495,4,"Email Opened","Unemployed","Mumbai","Yes","Modified","3"
"2991","631168","API","Google","No","0",2,1360,2,"Email Link Clicked","Unemployed","Other Cities","No","Email Link Clicked","0"
"2992","631159","Landing Page Submission","Google","No","0",3,323,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","1"
"2993","631155","API","Google","No","0",2,1409,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","0"
"2994","631150","Landing Page Submission","Direct Traffic","Yes","0",1,186,1,"Email Bounced","Unemployed","Mumbai","No","Modified","3"
"2995","631122","Landing Page Submission","Organic Search","No","1",7,257,7,"SMS Sent","Working Professional","Other Cities of Maharashtra","Yes","SMS Sent","3"
"2996","631121","API","Olark Chat","No","0",7,74,1.4,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","1"
"2997","631108","Landing Page Submission","Direct Traffic","No","0",3,307,3,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"2998","631082","Landing Page Submission","Google","No","0",3,409,3,"Form Submitted on Website","Unemployed","Mumbai","No","Modified","2"
"2999","631079","API","Olark Chat","No","0",3,361,1.5,"Email Link Clicked","Unemployed","Other Cities","No","Email Link Clicked","2"
"3000","631053","API","Google","No","0",3,13,3,"Unreachable","Unemployed","Mumbai","No","Modified","2"
"3001","631047","Landing Page Submission","Direct Traffic","No","0",6,1271,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","1"
"3002","631027","Landing Page Submission","Direct Traffic","Yes","1",2,1645,2,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","4"
"3003","631018","Landing Page Submission","Google","No","0",3,871,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3004","631017","Landing Page Submission","Direct Traffic","No","0",3,1354,3,"SMS Sent","Unemployed","Mumbai","Yes","Modified","2"
"3005","631014","Landing Page Submission","Google","Yes","0",4,44,4,"SMS Sent","Unemployed","Mumbai","No","Modified","2"
"3006","631013","Landing Page Submission","Google","No","1",3,1497,3,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","4"
"3007","630972","Landing Page Submission","Google","No","1",5,952,5,"SMS Sent","Unemployed","Mumbai","No","Modified","4"
"3008","630962","Landing Page Submission","Direct Traffic","No","0",4,177,4,"SMS Sent","Unemployed","Mumbai","No","Modified","3"
"3009","630952","Landing Page Submission","Google","No","0",4,1221,4,"Email Opened","Unemployed","Other Cities","No","Email Opened","2"
"3010","630949","Landing Page Submission","Direct Traffic","No","0",2,397,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3011","630946","Landing Page Submission","Direct Traffic","Yes","1",3,1653,3,"Page Visited on Website","Student","Mumbai","No","Modified","1"
"3012","630936","Landing Page Submission","Google","No","0",5,228,2.5,"Email Opened","Unemployed","Mumbai","No","Modified","4"
"3013","630918","API","Organic Search","No","1",8,1329,4,"Email Opened","Unemployed","Mumbai","No","Email Opened","3"
"3014","630903","Landing Page Submission","Google","No","0",8,782,2.67,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3015","630888","Landing Page Submission","Direct Traffic","No","0",5,213,2.5,"Page Visited on Website","Unemployed","Mumbai","Yes","Page Visited on Website","3"
"3016","630875","API","Google","No","1",3,1528,3,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3017","630863","Landing Page Submission","Direct Traffic","No","0",4,488,4,"Email Opened","Unemployed","Other Cities of Maharashtra","Yes","Email Opened","1"
"3018","630852","Landing Page Submission","Google","No","1",4,1173,4,"Email Link Clicked","Unemployed","Mumbai","No","Email Link Clicked","2"
"3019","630846","Landing Page Submission","Google","No","0",3,194,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3020","630841","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","3"
"3021","630840","Landing Page Submission","Direct Traffic","No","1",9,62,2.25,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","4"
"3022","630835","Landing Page Submission","Google","No","1",2,678,2,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","4"
"3023","630828","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3024","630824","Landing Page Submission","Direct Traffic","Yes","0",2,83,2,"Unsubscribed","Unemployed","Other Cities","Yes","Modified","1"
"3025","630816","API","Google","No","1",3,1373,1,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3026","630808","Landing Page Submission","Google","No","0",3,49,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3027","630804","API","Google","No","0",2,1553,1,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3028","630803","Landing Page Submission","Google","Yes","0",5,19,2.5,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","2"
"3029","630801","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Student","Thane & Outskirts","No","SMS Sent","3"
"3030","630797","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3031","630784","API","Google","No","0",2,139,2,"Converted to Lead","Unemployed","Mumbai","No","Modified","2"
"3032","630783","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3033","630779","Lead Add Form","Reference","No","1",1,1995,1,"Email Bounced","Unemployed","Mumbai","No","Modified","2"
"3034","630777","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3035","630775","Lead Add Form","Reference","No","1",1,1247,1,"Email Link Clicked","Unemployed","Mumbai","No","Modified","2"
"3036","630773","Landing Page Submission","Google","No","0",5,1049,5,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3037","630765","API","Google","No","0",2,234,2,"SMS Sent","Unemployed","Mumbai","No","Modified","2"
"3038","630760","Landing Page Submission","Direct Traffic","No","0",2,450,2,"SMS Sent","Unemployed","Other Cities","Yes","Modified","3"
"3039","630757","API","Google","No","0",2,64,1,"Page Visited on Website","Unemployed","Mumbai","No","Modified","0"
"3040","630751","API","Google","No","0",2,1048,2,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3041","630746","Landing Page Submission","Google","No","0",8,18,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3042","630740","Landing Page Submission","Direct Traffic","No","0",2,1492,2,"Email Opened","Unemployed","Other Cities of Maharashtra","Yes","Email Opened","3"
"3043","630736","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Thane & Outskirts","No","SMS Sent","3"
"3044","630730","API","Google","No","0",2,312,2,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","0"
"3045","630728","Landing Page Submission","Direct Traffic","No","1",4,906,4,"SMS Sent","Student","Other Cities","Yes","SMS Sent","3"
"3046","630727","Landing Page Submission","Direct Traffic","No","0",4,1095,4,"SMS Sent","Unemployed","Other Cities of Maharashtra","No","SMS Sent","2"
"3047","630722","API","Google","No","0",2,1283,1,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3048","630715","Landing Page Submission","Google","No","0",4,400,4,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","2"
"3049","630712","API","Google","No","0",2,130,1,"SMS Sent","Unemployed","Mumbai","No","Modified","2"
"3050","630706","API","Organic Search","No","1",4,266,2,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3051","630701","API","Organic Search","No","0",8,58,2.67,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","2"
"3052","630695","Landing Page Submission","Google","No","1",6,1234,2,"Email Opened","Unemployed","Other Cities","No","Email Opened","4"
"3053","630689","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3054","630667","API","Google","No","0",2,507,1,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","3"
"3055","630663","API","Organic Search","Yes","0",2,274,2,"Email Bounced","Unemployed","Mumbai","No","Modified","0"
"3056","630661","Landing Page Submission","Google","No","1",3,1248,3,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","4"
"3057","630654","API","Organic Search","Yes","1",3,949,3,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","3"
"3058","630648","Landing Page Submission","Google","No","0",6,763,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3059","630630","API","Google","No","0",2,33,1,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","0"
"3060","630628","Landing Page Submission","Direct Traffic","No","0",2,298,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3061","630627","Landing Page Submission","Google","No","1",4,1554,4,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","4"
"3062","630623","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3063","630610","Landing Page Submission","Google","No","0",7,137,3.5,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3064","630603","API","Google","No","1",8,1054,2.67,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Modified","2"
"3065","630597","Lead Add Form","Reference","No","0",0,278,0,"Had a Phone Conversation","Working Professional","Thane & Outskirts","No","Modified","3"
"3066","630589","API","Olark Chat","No","1",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","0"
"3067","630568","API","Google","No","0",3,254,3,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","0"
"3068","630564","Landing Page Submission","Google","No","0",6,239,6,"Email Opened","Unemployed","Mumbai","No","Email Opened","4"
"3069","630552","API","Olark Chat","No","1",0,0,0,"Resubscribed to emails","Unemployed","Mumbai","No","Resubscribed to emails","0"
"3070","630550","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Working Professional","Mumbai","No","SMS Sent","3"
"3071","630529","API","Google","No","1",3,519,1,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3072","630515","Landing Page Submission","Google","No","0",4,464,4,"SMS Sent","Unemployed","Other Cities","No","Modified","2"
"3073","630510","Landing Page Submission","Direct Traffic","No","1",4,390,4,"Email Opened","Working Professional","Other Metro Cities","No","Email Opened","4"
"3074","630485","Landing Page Submission","Direct Traffic","No","1",5,992,1.25,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3075","630462","Landing Page Submission","Organic Search","No","1",4,813,2,"SMS Sent","Working Professional","Other Cities","Yes","SMS Sent","3"
"3076","630446","Landing Page Submission","Google","No","0",8,75,8,"Email Opened","Unemployed","Other Cities","No","Email Opened","2"
"3077","630437","API","Olark Chat","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3078","630428","API","Direct Traffic","No","1",3,1099,1.5,"SMS Sent","Unemployed","Other Cities of Maharashtra","No","SMS Sent","2"
"3079","630427","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Working Professional","Thane & Outskirts","No","SMS Sent","3"
"3080","630423","Landing Page Submission","Google","No","0",8,350,8,"Page Visited on Website","Unemployed","Other Cities of Maharashtra","Yes","Page Visited on Website","2"
"3081","630422","Landing Page Submission","Google","No","0",10,524,1.67,"Page Visited on Website","Unemployed","Mumbai","Yes","Modified","3"
"3082","630405","Landing Page Submission","Google","No","0",11,287,11,"Email Opened","Unemployed","Mumbai","Yes","Modified","1"
"3083","630403","Landing Page Submission","Direct Traffic","No","0",4,204,4,"Email Opened","Unemployed","Other Metro Cities","Yes","Email Opened","3"
"3084","630390","Landing Page Submission","Google","No","1",3,664,3,"SMS Sent","Unemployed","Other Metro Cities","No","SMS Sent","4"
"3085","630386","Landing Page Submission","Organic Search","No","0",7,231,7,"SMS Sent","Unemployed","Mumbai","Yes","Modified","3"
"3086","630385","API","Olark Chat","No","1",3,1580,1,"Page Visited on Website","Unemployed","Mumbai","No","Modified","2"
"3087","630367","API","Google","No","1",4,998,1.33,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","0"
"3088","630339","Landing Page Submission","Organic Search","No","0",4,1060,4,"SMS Sent","Unemployed","Other Cities","Yes","SMS Sent","1"
"3089","630335","API","Google","No","0",3,232,3,"Olark Chat Conversation","Unemployed","Mumbai","No","Modified","2"
"3090","630331","API","Google","No","1",4,1656,2,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3091","630287","Landing Page Submission","Direct Traffic","No","1",5,959,2.5,"SMS Sent","Working Professional","Tier II Cities","No","SMS Sent","4"
"3092","630262","Landing Page Submission","Organic Search","Yes","0",3,443,1.5,"Unreachable","Unemployed","Other Cities","No","Modified","1"
"3093","630244","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3094","630222","Landing Page Submission","Direct Traffic","No","0",23,351,3.83,"Page Visited on Website","Unemployed","Mumbai","Yes","Page Visited on Website","4"
"3095","630219","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3096","630200","Landing Page Submission","Google","No","1",5,1925,5,"SMS Sent","Working Professional","Thane & Outskirts","No","SMS Sent","4"
"3097","630193","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities","No","Modified","0"
"3098","630170","Landing Page Submission","Direct Traffic","No","1",2,503,2,"SMS Sent","Working Professional","Other Metro Cities","No","SMS Sent","4"
"3099","630168","Landing Page Submission","Organic Search","No","0",3,1046,3,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","1"
"3100","630158","Landing Page Submission","Direct Traffic","No","0",2,208,2,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3101","630139","API","Organic Search","No","0",2,268,2,"Converted to Lead","Unemployed","Mumbai","No","Modified","0"
"3102","630135","Landing Page Submission","Direct Traffic","No","0",2,260,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3103","630128","Landing Page Submission","Direct Traffic","Yes","0",2,305,2,"SMS Sent","Unemployed","Other Metro Cities","Yes","Modified","3"
"3104","630127","Landing Page Submission","Organic Search","No","1",9,181,4.5,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","3"
"3105","630118","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3106","630088","Landing Page Submission","Direct Traffic","Yes","0",2,358,2,"Page Visited on Website","Unemployed","Other Cities","Yes","Page Visited on Website","1"
"3107","630083","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Other Metro Cities","No","Olark Chat Conversation","0"
"3108","630079","Landing Page Submission","Organic Search","Yes","0",5,71,5,"SMS Sent","Unemployed","Other Metro Cities","Yes","SMS Sent","1"
"3109","630052","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3110","630042","Landing Page Submission","Direct Traffic","No","0",5,2,2.5,"Form Submitted on Website","Unemployed","Mumbai","Yes","Modified","4"
"3111","630041","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","0"
"3112","630039","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3113","630013","Landing Page Submission","Direct Traffic","No","0",2,412,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","3"
"3114","630010","Landing Page Submission","Direct Traffic","No","1",4,2094,4,"SMS Sent","Working Professional","Mumbai","Yes","SMS Sent","3"
"3115","630003","API","Google","No","0",3,1188,3,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","2"
"3116","630001","Landing Page Submission","Google","No","0",7,402,7,"Page Visited on Website","Unemployed","Mumbai","No","Page Visited on Website","2"
"3117","629976","API","Olark Chat","Yes","0",0,0,0,"Email Bounced","Unemployed","Mumbai","No","Modified","0"
"3118","629971","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3119","629969","Landing Page Submission","Direct Traffic","No","0",2,903,2,"SMS Sent","Unemployed","Mumbai","Yes","SMS Sent","1"
"3120","629964","API","Google","No","1",2,1485,2,"Email Opened","Unemployed","Mumbai","No","Modified","3"
"3121","629956","Landing Page Submission","Direct Traffic","No","1",6,94,2,"SMS Sent","Working Professional","Other Cities","Yes","SMS Sent","3"
"3122","629955","Landing Page Submission","Direct Traffic","Yes","0",2,1577,2,"SMS Sent","Unemployed","Thane & Outskirts","Yes","Modified","1"
"3123","629942","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3124","629940","API","Google","No","1",2,997,2,"Email Opened","Working Professional","Mumbai","No","Email Opened","3"
"3125","629932","API","Organic Search","No","0",4,358,4,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3126","629925","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Olark Chat Conversation","2"
"3127","629918","API","Olark Chat","No","0",0,0,0,"Email Link Clicked","Unemployed","Mumbai","No","Email Link Clicked","0"
"3128","629916","API","Olark Chat","No","0",0,0,0,"Email Link Clicked","Unemployed","Other Cities","No","Email Link Clicked","0"
"3129","629915","API","Google","No","0",2,37,1,"Converted to Lead","Unemployed","Mumbai","No","Modified","0"
"3130","629912","API","Olark Chat","No","0",0,0,0,"Unreachable","Unemployed","Mumbai","No","Unreachable","0"
"3131","629911","Landing Page Submission","Direct Traffic","No","0",7,62,1.75,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","2"
"3132","629908","Landing Page Submission","Organic Search","No","0",5,134,5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3133","629884","Landing Page Submission","Google","No","1",4,1237,4,"SMS Sent","Student","Mumbai","No","SMS Sent","4"
"3134","629882","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3135","629876","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3136","629872","Landing Page Submission","Direct Traffic","No","0",2,320,2,"Email Opened","Unemployed","Thane & Outskirts","Yes","Email Opened","1"
"3137","629871","Landing Page Submission","Google","No","0",5,375,5,"SMS Sent","Unemployed","Mumbai","No","Modified","4"
"3138","629853","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3139","629825","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3140","629824","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3141","629811","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Other Cities","No","Modified","0"
"3142","629804","API","Olark Chat","No","0",0,0,0,"Email Opened","Unemployed","Thane & Outskirts","No","Modified","0"
"3143","629803","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3144","629789","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3145","629786","API","Google","No","0",3,86,1.5,"Email Link Clicked","Unemployed","Mumbai","No","Modified","0"
"3146","629776","Landing Page Submission","Google","No","0",2,137,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3147","629768","Lead Add Form","Reference","No","1",0,0,0,"Email Link Clicked","Unemployed","Mumbai","No","Email Link Clicked","3"
"3148","629767","API","Olark Chat","No","1",7,905,3.5,"SMS Sent","Unemployed","Other Metro Cities","Yes","SMS Sent","3"
"3149","629765","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3150","629751","Landing Page Submission","Direct Traffic","No","1",2,245,2,"SMS Sent","Unemployed","Thane & Outskirts","Yes","SMS Sent","3"
"3151","629746","Landing Page Submission","Direct Traffic","No","1",2,16,2,"SMS Sent","Working Professional","Mumbai","Yes","SMS Sent","3"
"3152","629735","Lead Add Form","Welingak Website","No","1",0,0,0,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3153","629734","Landing Page Submission","Direct Traffic","No","0",3,1932,3,"Email Opened","Unemployed","Mumbai","No","Email Opened","3"
"3154","629725","Landing Page Submission","Google","No","0",5,1403,2.5,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Email Opened","4"
"3155","629721","Landing Page Submission","Google","No","0",5,97,2.5,"Email Opened","Unemployed","Thane & Outskirts","No","Email Opened","4"
"3156","629720","API","Olark Chat","No","0",2,1491,1,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Olark Chat Conversation","2"
"3157","629707","Landing Page Submission","Direct Traffic","No","0",2,42,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3158","629691","API","Google","No","0",3,187,1.5,"Olark Chat Conversation","Unemployed","Mumbai","No","Olark Chat Conversation","0"
"3159","629684","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3160","629679","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","2"
"3161","629671","API","Google","No","0",2,971,2,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3162","629664","API","Olark Chat","No","0",0,0,0,"Olark Chat Conversation","Unemployed","Thane & Outskirts","No","Modified","0"
"3163","629658","Lead Add Form","Reference","No","1",0,0,0,"SMS Sent","Unemployed","Other Metro Cities","No","SMS Sent","3"
"3164","629657","Landing Page Submission","Direct Traffic","No","1",5,1303,2.5,"Email Opened","Unemployed","Other Cities","Yes","Email Opened","3"
"3165","629654","Landing Page Submission","Direct Traffic","No","0",5,37,5,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3166","629651","Landing Page Submission","Google","No","1",3,176,3,"SMS Sent","Working Professional","Mumbai","No","SMS Sent","4"
"3167","629645","Landing Page Submission","Direct Traffic","No","1",3,294,3,"SMS Sent","Working Professional","Mumbai","Yes","SMS Sent","3"
"3168","629644","API","Google","No","0",5,464,5,"Email Opened","Unemployed","Mumbai","No","Email Opened","0"
"3169","629641","Lead Add Form","Reference","No","1",1,1113,1,"Approached upfront","Unemployed","Mumbai","No","Modified","2"
"3170","629616","Landing Page Submission","Direct Traffic","No","0",2,78,2,"Email Opened","Unemployed","Mumbai","Yes","Email Opened","1"
"3171","629610","API","Olark Chat","No","1",0,0,0,"SMS Sent","Unemployed","Mumbai","No","SMS Sent","2"
"3172","629607","API","Google","No","0",5,209,1.67,"Page Visited on Website","Unemployed","Mumbai","Yes","Modified","1"
"3173","629602","API","Google","No","1",2,1505,2,"SMS Sent","Working Professional","Mumbai","No","SMS Sent","2"
"3174","629598","Landing Page Submission","Google","No","1",8,1562,2.67,"Email Opened","Unemployed","Mumbai","No","Modified","2"
"3175","629595","API","Google","No","0",2,55,2,"Email Opened","Unemployed","Mumbai","No","Email Opened","2"
"3176","629593","Landing Page Submission","Google","No","1",12,1248,2.4,"SMS Sent","Unemployed","Mumbai","Yes","Modified","4"
"3177","629592","Lead Add Form","Reference","No","1",0,0,0,"Email Opened","Unemployed","Other Cities of Maharashtra","No","Modified","3"
